t,x,y,altitude
505.7999999523163,-12467096.6841859,4955925.664511862,4575.0
507.89999985694885,-12467096.6841859,4955925.664511862,4575.0
509.89999985694885,-12467094.680435065,4955939.302933395,4550.0
512.0,-12467096.6841859,4955952.501423922,4575.0
514.0999999046326,-12467103.474674838,4955965.993232617,4575.0
516.0999999046326,-12467103.474674838,4955979.485059892,4575.0
518.2000000476837,-12467103.474674838,4956033.159252372,4575.0
520.2999999523163,-12467103.474674838,4956033.159252372,4575.0
521.2999999523163,-12467103.474674838,4956033.159252372,4575.0
523.2999999523163,-12467103.474674838,4956033.159252372,4575.0
525.3999998569489,-12467122.510307765,4956157.666913015,4575.0
527.5,-12467130.747950083,4956187.584183857,4575.0
529.5999999046326,-12467130.747950083,4956187.584183857,4575.0
531.5999999046326,-12467130.747950083,4956187.584183857,4575.0
533.7000000476837,-12467130.747950083,4956187.584183857,4575.0
535.7999999523163,-12467178.281372651,4956529.879461291,4575.0
537.7999999523163,-12467178.281372651,4956529.879461291,4575.0
539.8999998569489,-12467178.281372651,4956529.879461291,4575.0
542.0,-12467178.281372651,4956529.879461291,4575.0
544.0,-12467212.901734287,4956806.334891494,4575.0
546.0999999046326,-12467219.803542716,4956840.507377687,4575.0
548.2000000476837,-12467240.620287493,4956963.265317771,4575.0
550.2999999523163,-12467240.620287493,4956963.265317771,4700.0
552.2999999523163,-12467254.535223845,4957140.878393731,4700.0
554.3999998569489,-12467254.535223845,4957140.878393731,4700.0
556.5,-12467254.535223845,4957140.878393731,4700.0
558.5999999046326,-12467254.535223845,4957140.878393731,4750.0
560.5999999046326,-12467254.535223845,4957140.878393731,4750.0
562.7000000476837,-12467254.535223845,4957140.878393731,4750.0
564.7999999523163,-12467314.20247091,4957657.895975381,4800.0
566.8999998569489,-12467323.9985861,4957748.541869381,4800.0
569.0,-12467331.01171402,4957816.746857238,4800.0
571.0,-12467334.573937723,4957933.063125675,4850.0
573.0999999046326,-12467334.573937723,4957933.063125675,4800.0
575.0999999046326,-12467344.92665037,4958055.834758596,4900.0
577.2000000476837,-12467344.92665037,4958124.041886284,4925.0
579.2999999523163,-12467344.92665037,4958124.041886284,4925.0
581.2999999523163,-12467354.94540454,4958356.096359333,4925.0
583.2999999523163,-12467354.94540454,4958356.096359333,4925.0
585.3999998569489,-12467358.730267227,4958513.3449933715,5025.0
587.5,-12467358.730267227,4958513.3449933715,5025.0
589.5999999046326,-12467358.730267227,4958513.3449933715,5025.0
591.7000000476837,-12467358.730267227,4958513.3449933715,5025.0
593.7000000476837,-12467379.658331495,4958765.945565735,5100.0
595.7999999523163,-12467388.897849232,4958879.926005902,5100.0
597.8999998569489,-12467388.897849232,4958879.926005902,5125.0
600.0,-12467388.897849232,4958879.926005902,5125.0
602.0,-12467388.897849232,4958879.926005902,5125.0
604.0999999046326,-12467388.897849232,4958879.926005902,5125.0
606.2000000476837,-12467388.897849232,4958879.926005902,5125.0
608.2999999523163,-12467388.897849232,4958879.926005902,5125.0
610.2999999523163,-12467388.897849232,4958879.926005902,5125.0
612.3999998569489,-12467859.111378344,4959155.2741895905,5125.0
614.5,-12467859.111378344,4959155.2741895905,5125.0
616.5,-12467984.123166503,4959134.736497947,5250.0
618.5999999046326,-12467984.123166503,4959134.736497947,5250.0
620.7000000476837,-12467984.123166503,4959134.736497947,5250.0
622.7000000476837,-12467984.123166503,4959134.736497947,5250.0
624.7999999523163,-12467984.123166503,4959134.736497947,5250.0
626.8999998569489,-12467984.123166503,4959134.736497947,5250.0
629.0,-12467984.123166503,4959134.736497947,5250.0
631.0,-12467984.123166503,4959134.736497947,5250.0
633.0999999046326,-12467984.123166503,4959134.736497947,5250.0
635.2000000476837,-12467984.123166503,4959134.736497947,5250.0
637.2999999523163,-12467984.123166503,4959134.736497947,5250.0
639.2999999523163,-12467984.123166503,4959134.736497947,5250.0
640.3999998569489,-12467984.123166503,4959134.736497947,5250.0
642.3999998569489,-12467984.123166503,4959134.736497947,5250.0
644.5,-12467984.123166503,4959134.736497947,5250.0
646.5999999046326,-12468306.170453368,4957986.89470359,5250.0
648.7000000476837,-12468303.83274406,4957898.740148706,5250.0
650.7000000476837,-12468303.83274406,4957898.740148706,5250.0
652.7999999523163,-12468292.589475492,4957657.895975381,5250.0
654.8999998569489,-12468292.589475492,4957657.895975381,5250.0
657.0,-12468283.015999284,4957468.539702608,5250.0
659.0,-12468276.002871362,4957379.803127202,5250.0
661.0999999046326,-12468265.316200247,4957281.8271479495,5250.0
663.2000000476837,-12468255.186126586,4957195.438961234,5250.0
665.2999999523163,-12468248.284318157,4957099.958167528,5250.0
667.3999998569489,-12468234.369381806,4957011.078265053,5250.0
669.3999998569489,-12468227.356253887,4956915.599268263,5225.0
671.5,-12468213.441317538,4956819.974539071,5225.0
673.5999999046326,-12468204.2017998,4956724.644066388,5225.0
675.7000000476837,-12468204.2017998,4956724.644066388,5225.0
677.7000000476837,-12468183.830332987,4956509.787248715,5200.0
679.7999999523163,-12468183.830332987,4956509.787248715,5200.0
681.8999998569489,-12468171.807827981,4956328.372567306,5200.0
683.8999998569489,-12468171.807827981,4956328.372567306,5175.0
686.0,-12468156.668377232,4956187.584183857,5175.0
688.0999999046326,-12468156.668377232,4956187.584183857,5175.0
690.2000000476837,-12468156.668377232,4956187.584183857,5175.0
692.2000000476837,-12468156.668377232,4956187.584183857,5175.0
694.2999999523163,-12468156.668377232,4956187.584183857,5175.0
696.3999998569489,-12468156.668377232,4956187.584183857,5175.0
698.3999998569489,-12468115.925443603,4955623.571009965,5175.0
700.5,-12468102.344465725,4955529.571970817,5150.0
702.5999999046326,-12468102.344465725,4955482.64611089,5150.0
704.7000000476837,-12468102.344465725,4955482.64611089,5150.0
706.7000000476837,-12468102.344465725,4955482.64611089,5150.0
708.7999999523163,-12468102.344465725,4955482.64611089,5150.0
710.8999998569489,-12468102.344465725,4955482.64611089,5150.0
713.0,-12468102.344465725,4955482.64611089,5150.0
715.0,-12468032.769783981,4954867.498198962,5150.0
717.0999999046326,-12468032.769783981,4954867.498198962,5150.0
719.2000000476837,-12468032.769783981,4954867.498198962,5150.0
721.2000000476837,-12468032.769783981,4954867.498198962,5150.0
723.2999999523163,-12468032.769783981,4954867.498198962,5150.0
725.3999998569489,-12468032.769783981,4954867.498198962,5150.0
727.5,-12467949.391485376,4954273.649484474,5025.0
729.5999999046326,-12467942.489676947,4954184.941839934,5025.0
731.5999999046326,-12467925.680433838,4954086.55793694,5100.0
733.7000000476837,-12467914.65980425,4954000.637780405,5100.0
735.7999999523163,-12467914.65980425,4954000.637780405,5100.0
737.7999999523163,-12467893.843059469,4953877.770332948,5125.0
739.8999998569489,-12467893.843059469,4953877.770332948,5125.0
741.8999998569489,-12467893.843059469,4953877.770332948,5125.0
744.0,-12467893.843059469,4953877.770332948,5125.0
746.0,-12467893.843059469,4953877.770332948,5125.0
748.0999999046326,-12467893.843059469,4953877.770332948,5125.0
750.2000000476837,-12467643.708163658,4953331.7765847705,5125.0
752.2999999523163,-12467643.708163658,4953331.7765847705,5125.0
754.2999999523163,-12467643.708163658,4953331.7765847705,5125.0
756.3999998569489,-12467643.708163658,4953331.7765847705,5125.0
758.5,-12467643.708163658,4953331.7765847705,5125.0
